Row Labels,Sum of Quantity
9,78
10,74
11,138
12,99
16,8
17,27
18,30
19,3
10/17/2021,691
7,13
8,140
9,137
10,136
11,150
12,112
13,3
10/18/2021,289
7,2
8,28
9,31
10,44
11,81
12,53
16,14
17,19
18,15
19,2
10/19/2021,366
7,13
8,59
9,28
10,42
11,54
12,68
13,8
16,47
17,22
18,25
10/20/2021,315
7,11
8,30
9,54
10,36
11,57
12,66
13,1
16,37
17,8
18,15
10/21/2021,378
7,14
8,36
9,60
10,85
11,55
12,54
13,6
16,26
17,32
18,10
10/22/2021,379
7,20
8,46
9,25
10,55
11,66
12,81
13,11
16,23
17,25
18,27
10/23/2021,616
7,36
8,79
9,103
10,106
11,109
12,94
13,3
16,28
17,41
18,15
19,2
10/24/2021,835
7,24
8,141
9,186
10,226
11,200
12,58
10/25/2021,459
7,3
8,56
9,58
10,53
11,88
12,115
13,12
16,26
17,29
18,19
10/26/2021,532
7,22
8,47
9,56
10,104
11,79
12,101
13,1
16,39
17,51
18,30
19,2
10/27/2021,517
7,26
8,56
9,79
10,104
11,71
12,95
13,6
16,20
17,27
18,33
10/28/2021,510
7,10
8,33
9,56
10,104
11,118
12,97
13,5
16,30
17,23
18,34
10/29/2021,550
7,11
8,84
9,69
10,68
11,118
12,95
13,12
16,30
17,27
18,30
19,6
10/30/2021,770
7,3
8,102
9,117
10,173
11,160
12,120
13,7
16,33
17,17
18,34
19,4
10/31/2021,1066
8,58
9,221
10,295
11,286
12,206
11/1/2021,932
8,25
9,131
10,223
11,214
12,221
13,116
14,2
11/2/2021,529
8,16
9,75
10,73
11,61
12,141
13,77
14,16
17,24
18,24
19,20
20,2
11/3/2021,522
8,9
9,43
10,86
11,102
12,100
13,115
14,4
17,17
18,17
19,26
20,3
11/4/2021,471
8,6
9,59
10,56
11,87
12,102
13,76
14,13
17,24
18,28
19,20
20,0
11/5/2021,496
8,9
9,71
10,69
11,75
12,96
13,89
14,7
17,30
18,22
19,28
11/6/2021,570
8,9
9,99
10,108
11,100
12,104
13,81
17,27
18,23
19,19
11/7/2021,563
8,24
9,125
10,96
11,155
12,115
13,41
14,7
11/8/2021,379
8,1
9,44
10,123
11,40
12,52
13,56
14,2
17,32
18,14
19,13
20,2
11/9/2021,346
8,12
9,44
10,62
11,26
12,46
13,75
14,6
17,25
18,29
19,21
11/10/2021,358
8,13
9,32
10,27
11,68
12,62
13,69
14,5
17,21
18,48
19,13
11/11/2021,518
8,4
9,109
10,90
11,126
12,122
13,66
14,1
11/12/2021,332
8,11
9,55
10,34
11,55
12,116
16,7
17,45
